original_names,updated_names,coral_type
acanthastrea_echinata,acanthastrea_echinata,hard_coral
acanthastrea_echinata,acanthastrea_echinata,hard_coral
acanthastrea_echinata,acanthastrea_echinata,hard_coral
acanthastrea_echinata,acanthastrea_echinata,hard_coral
acanthastrea_echinata,acanthastrea_echinata,hard_coral
acanthastrea_echinata,acanthastrea_echinata,hard_coral
acanthastrea_hemprichii,acanthastrea_hemprichii,hard_coral
acanthastrea_hillae,homophyllia_bowerbanki,hard_coral
acanthastrea_lordhowensis,micromussa_lordhowensis,hard_coral
acanthastrea_rotundoflora,acanthastrea_rotundoflora,hard_coral
acanthastrea_rotundoflora,acanthastrea_rotundoflora,hard_coral
acanthastrea_sp,acanthastrea_sp,hard_coral
acanthastrea_subechinata,acanthastrea_subechinata,hard_coral
acanthogorgia_vegae,acanthogorgia_vegae,hard_coral
acanthogorgia_vegae,acanthogorgia_vegae,hard_coral
acanthogorgia_vegae_aurivillus,acanthogorgia_vegae,hard_coral
acropora,acropora_spp,hard_coral
acropora,acropora_spp,hard_coral
acropora,acropora_spp,hard_coral
acropora,acropora_spp,hard_coral
acropora,acropora_spp,hard_coral
acropora,acropora_spp,hard_coral
acropora,acropora_spp,hard_coral
acropora,acropora_spp,hard_coral
acropora,acropora_spp,hard_coral
acropora,acropora_spp,hard_coral
acropora,acropora_spp,hard_coral
acropora,acropora_spp,hard_coral
acropora formosa,acropora_muricata,hard_coral
Acropora humilis,acropora_humilis,hard_coral
Acropora muricata,acropora_muricata,hard_coral
Acropora valida,acropora_valida,hard_coral
acropora_abrolhosensis,acropora_abrolhosensis,hard_coral
acropora_anthocercis,acropora_anthocercis,hard_coral
acropora_anthocercis,acropora_anthocercis,hard_coral
acropora_aspera,acropora_aspera,hard_coral
acropora_aspera,acropora_aspera,hard_coral
acropora_aspera,acropora_aspera,hard_coral
acropora_austera,acropora_austera,hard_coral
acropora_azurea,acropora_nana,hard_coral
acropora_brueggemanni,acropora_brueggemanni,hard_coral
acropora_cervicor,acropora_cervicornis,hard_coral
acropora_cervicornis,acropora_cervicornis,hard_coral
acropora_clathrata,acropora_clathrata,hard_coral
acropora_cuneata,isopora_cuneata,hard_coral
acropora_cytherea,acropora_cytherea,hard_coral
acropora_cytherea,acropora_cytherea,hard_coral
acropora_cytherea,acropora_cytherea,hard_coral
acropora_digitifera,acropora_digitifera,hard_coral
acropora_digitifera,acropora_digitifera,hard_coral
acropora_digitifera,acropora_digitifera,hard_coral
acropora_digitifera,acropora_digitifera,hard_coral
acropora_digitifera,acropora_digitifera,hard_coral
acropora_digitifera,acropora_digitifera,hard_coral
acropora_digitifera,acropora_digitifera,hard_coral
acropora_digitifera,acropora_digitifera,hard_coral
acropora_digitifera,acropora_digitifera,hard_coral
acropora_divaricata,acropora_divaricata,hard_coral
acropora_donei,acropora_donei,hard_coral
acropora_formosa,acropora_muricata,hard_coral
acropora_formosa,acropora_muricata,hard_coral
acropora_formosa,acropora_muricata,hard_coral
acropora_formosa,acropora_muricata,hard_coral
acropora_gemmifera,acropora_gemmifera,hard_coral
acropora_gemmifera,acropora_gemmifera,hard_coral
acropora_gemmifera,acropora_gemmifera,hard_coral
acropora_gemmifera,acropora_gemmifera,hard_coral
acropora_gemmifera,acropora_gemmifera,hard_coral
acropora_gemmifera,acropora_gemmifera,hard_coral
acropora_gemmifera,acropora_gemmifera,hard_coral
acropora_gemnifera,acropora_gemmifera,hard_coral
acropora_glauca,acropora_glauca,hard_coral
acropora_glauca,acropora_glauca,hard_coral
acropora_glauca,acropora_glauca,hard_coral
acropora_grandis,acropora_grandis,hard_coral
acropora_grandis,acropora_grandis,hard_coral
acropora_granulosa,acropora_granulosa,hard_coral
acropora_gravida,acropora_florida,hard_coral
acropora_humilis,acropora_humilis,hard_coral
acropora_humilis,acropora_humilis,hard_coral
acropora_humilis,acropora_humilis,hard_coral
acropora_humilis,acropora_humilis,hard_coral
acropora_humilis,acropora_humilis,hard_coral
acropora_humilis,acropora_humilis,hard_coral
acropora_humilis,acropora_humilis,hard_coral
acropora_humilis,acropora_humilis,hard_coral
acropora_humilis,acropora_humilis,hard_coral
acropora_hyacinthus,acropora_hyacinthus,hard_coral
acropora_hyacinthus,acropora_hyacinthus,hard_coral
acropora_hyacinthus,acropora_hyacinthus,hard_coral
acropora_hyacinthus,acropora_hyacinthus,hard_coral
acropora_hyacinthus,acropora_hyacinthus,hard_coral
acropora_hyacinthus,acropora_hyacinthus,hard_coral
acropora_hyacinthus,acropora_hyacinthus,hard_coral
acropora_hyacinthus,acropora_hyacinthus,hard_coral
acropora_hyacinthus,acropora_hyacinthus,hard_coral
acropora_hyacinthus,acropora_hyacinthus,hard_coral
acropora_hyacinthus,acropora_hyacinthus,hard_coral
acropora_hyacinthus,acropora_hyacinthus,hard_coral
acropora_hyacinthus,acropora_hyacinthus,hard_coral
acropora_hyacinthus,acropora_hyacinthus,hard_coral
acropora_hyacinthus,acropora_hyacinthus,hard_coral
acropora_hyacinthus,acropora_hyacinthus,hard_coral
acropora_intermedia,acropora_intermedia,hard_coral
acropora_intermedia,acropora_intermedia,hard_coral
acropora_intermedia,acropora_intermedia,hard_coral
acropora_intermedia,acropora_intermedia,hard_coral
acropora_intermedia,acropora_intermedia,hard_coral
acropora_intermedia,acropora_intermedia,hard_coral
acropora_japonica,acropora_japonica,hard_coral
