title,year,journal,doi,volume,authors,url,language,abstract,category,type,focus,Cfoc_1,Cfoc_2,Cfoc_3,Cmult_foc,Ofoc_1,Ofoc_2,Ofoc_3,Omult_foc,location,sub_location,mult_location,international,life_history_stage,study_duration,experiment_type,nat_product_benefit,keywords,recommendation
A wave-like pattern of holocene crustal warping in eastern Asia,1976,"Palaeogeography, Palaeoclimatology, Palaeoecology",10.1016/0031-0182(76)90017-1,19,"Taira, Kazuhiro",https://www.scopus.com/inward/record.uri?eid=2-s2.0-49549126719&doi=10.1016%2f0031-0182%2876%2990017-1&partnerID=40&md5=6738929abfadc421707d687b65299c3f,english,"Radiocarbon dating of coral and marine molluscs from raised beaches along the coasts of Taiwan, the Ryukyu Islands and Honshu indicates apparently regular vertical crustal displacements during the Holocene. The crustal warping seemingly followed a wave-like pattern corresponding to a broad sine curve with a wave height of about 20 m and wave length of 760 km. It is estimated that the wave migrated southward at a rate of approximately 114 m per year. © 1976.",dynamics,scleractinian,multiple,NA,NA,NA,NA,NA,NA,NA,NA,multiple,NA,hengchun; tainan; keelung,Y,fossil,undefined,mixed,NA,NA,NA
Methodology and measurement of ATP in coral,1987,BULLETIN OF MARINE SCIENCE,NA,41,"FANG, LS and CHEN, YWJ and SOONG, KY",https://www.ingentaconnect.com/content/umrsmas/bullmar/1987/00000041/00000002/art00045#,english,"The amount of adenosine triphosphate (ATP) in living coral is important because this universal energy-supply molecule could become a physiological index for coral conservation. Because coral samples usually contain less than 0.01% living tissue by weight, no ATP measuring method had been previously applied to corals. We examined various methods of ATP extraction and a technique to concentrate ATP by column chromatography was developed. We found that extraction with H2S04 followed by concentration on charcoal-celite column gave a good result. These data were compared with other morphological and physiological parameters of corals such as weight, surface, polyp number, total protein, total organic carbon and chlorophyll a. The high correlation among these data indicate the feasibility of the method. This method may provide a new approach-a physiological parameter for coral conservation.",other_stressor,scleractinian,single,acropora_gravida,NA,NA,NA,NA,NA,NA,NA,south,kenting_national_park,NA,N,adult,short,laboratory,NA,NA,further_research
Distribution and significance of heterotrophic marine bacteria with antibacterial activity.,1987,Applied and environmental microbiology,10.1128/aem.53.12.2957-2962.1987,53,"Nair, S. and Simidu, U.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-0023473587&doi=10.1128%2faem.53.12.2957-2962.1987&partnerID=40&md5=01014c03801865f19e773302c22bb981,english,"Bacteria with antibacterial activity were isolated from seawater, sediments, phytoplankton, and zooplankton of Suruga, Sagami, and Tokyo Bays and from soft corals and sponges collected from the Taiwan coast. Of the 726 strains isolated, 37 showed antibacterial activity against either Vibrio parahaemolyticus (ATCC 17802) or Staphylococcus aureus (P209). Sediment harbored the lowest number of these forms of bacteria, and those from Tokyo Bay did not show any activity. Attached isolates showed greater activity compared with free-living forms. Relatively high numbers of strains with antibacterial activity were associated with phytoplankton. Among the zooplankton isolates, cladocerans harbored the maximum number of antibacterial strains. Isolates were more inhibitory to gram-positive test cultures. Autoinhibition was observed only among 8% of the isolates. Marine nonproducers were more susceptible. Pseudomonas/Alteromonas species made up 81.0% of isolates, of which 30% were pigmented strains. The absence or reduction in number of bacteria with antibacterial activity in Tokyo Bay is attributed to its eutrophic nature, which may tend to moderate the production of antibacterial compounds.",holobiont,mix,community,NA,NA,NA,NA,NA,NA,NA,NA,south,kenting_national_park,NA,N,multiple,long,mixed,NA,NA,further_research
Why does the white tip of stony coral grow so fast without zooxanthellae?,1989,Marine Biology,10.1007/BF00397270,103,"Fang, L.-s. and Chen, Y.-w.J. and Chen, C.-s.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001411527&doi=10.1007%2fBF00397270&partnerID=40&md5=14d0cfa9595dcee52cc45c7de81ccb69,english,"The photosynthesis of zooxanthellae in a coral polyp greatly enchances the calcification rate of a coral. However, the white tip of a coral branch is free of zooxanthellae yet still has a very high calcification rate. Furthermore, the reason for the difference is not clear. In this study, the amount of photopigment, total protein (TP), total organic carbon (TOC), ATP, and lipid in polyps from the white tip and brown stalk of a branch of stony coral were measured. Samples of Acropora hyacinthus and A. formosa were collected from southern Taiwan between 1985 and 1987. The results showed that the ATP concentration in polyps of the white tip was much higher than that in polyps of the brown stalk. Conversely, the amount of TP, TOC and measured lipids in polyps of the brown stalk were all higher than those of the white tip. It was the high concentration of ATP in cells that gave these polyp tips the vitality to sustain the energy requirements of such a rapid calification rate. Facilitated diffusion, due to the high metabolite gradient created by cell activity, could be the major driving force for the transport of photosynthetic product from stalk to tip. © 1989 Springer-Verlag.",dynamics,scleractinian,multiple,acropora_hyacinthus,acropora_formosa,NA,NA,NA,NA,NA,NA,south,NA,NA,N,adult,long,laboratory,NA,NA,NA
INTERSPECIFIC COMPETITION IN TAIWANESE CORALS WITH SPECIAL REFERENCE TO INTERACTIONS BETWEEN ALCYONACEANS AND SCLERACTINIANS,1990,MARINE ECOLOGY PROGRESS SERIES,10.3354/meps060291,60,"DAI, CF",NA,english,"Naturally occurring interspecific competition in scleractinian and alcyonacean corals was studied on the reefs of southern Taiwan. A total of 1168 pairwise interactions were recorded and analysis of the data, using a competitive index, led to classification of corals into 5 categoreis. Three major conclusions can be drawn. (1) The ranking of competitive ability shown by a species bears little apparent relationship to its systematic position, and the most aggressive corals such as Merulina ampliata, Echinophyllia asper, and Mycedium elephantotus are often most abundant on the reefs. (2) Alcyonaceans are generally subordinate when in contact with scleractinians; the former are often subjected to mesenterial digestion by the latter. The position of contact is probably an important determinant in interactions between soft and hard corals. (3) Coral interspecific interactions on the reefs of southern Taiwan show some evidence of competitive networks.",dynamics,mix,community,NA,NA,NA,NA,NA,NA,NA,NA,south,kenting_national_park,NA,N,adult,long,field,NA,NA,management
"GORGONACEA (COELENTERATA, ANTHOZOA, OCTOCORALLIA) OF SOUTHERN TAIWAN",1991,BULLETIN OF THE INSTITUTE OF ZOOLOGY ACADEMIA SINICA,NA,30,"CHEN, CC and CHANG, KH",,english,"A total of 18 single of gorgonians, belonging to 13 genera of 7 families, from the subtidal zone of Kenting National Park in southern Taiwan are described. All of them are new records for Taiwan. A systematic account with a key based on color and sclerites morphologies and descriptions of their habitats and symbionts are presented.",taxonomy,octocoral,community,NA,NA,NA,solenocaulon_chinense; subergorgia_mollis; subergorgia_rubra; subergorgia_suberosa; mopsella_aurantia; melithaea_ochracea; acanthogorgia_vegae; muricella_grandis; hicksonella_princeps; rumphella_antipaths; bebryce_indica; echinogorgia_fora; junceella_gemmacea; junceella_fragilis; junceella_juncea; verrucella_umbraculum; ellisella_maculata; ellisella_robusta,NA,NA,NA,NA,south,kenting_national_park,NA,N,adult,short,laboratory,NA,GORGONACEA; OCTOCORALLIA; SYSTEMATIC ACCOUNTS; DISTRIBUTION; SYMBIONTS; TAIWAN,NA
ISOLATION OF BIOACTIVE STEROL FROM THE SOFT CORAL LOBOPHYTUM-MIRABILE,1991,JOURNAL OF THE CHINESE CHEMICAL SOCIETY,10.1002/jccs.199100068,38,"SHEU, JH and YEH, TH",NA,english,"A cytotoxic sterol, 24-xi-methylcholestane-3-beta,5-alpha,6-beta,25-tetrol 25-monoacetate (1) was isolated from the soft coral Lobophytum mirabile. This polar sterol showed moderate cytotoxicity toward P388 cells.",natural_products,octocoral,single,lobophytum_mirabile,NA,NA,NA,NA,NA,NA,NA,south,kenting_national_park,NA,N,adult,undefined,laboratory,NA,SOFT CORAL; LOBOPHYTUM-MIRABILE; POLYHYDROXYLATED STEROID; SECONDARY METABOLITE; CYTOTOXICITY; BI...,NA
SCLERACTINIA OF TAIWAN .2. FAMILY FUNGIIDAE (INCLUDING A NEW SPECIES),1991,BULLETIN OF THE INSTITUTE OF ZOOLOGY ACADEMIA SINICA,NA,30,"HOEKSEMA, BW and DAI, CF",https://repository.naturalis.nl/pub/268399/Hoeksema1991a.pdf,english,"The Fungiidae of Taiwan are treated as a part of a series dealing with the Taiwanese Scleractinia. A total of 27 single, classified with seven subgenera and eight genera, are briefly described. One single, Fungia (Pleuractis) taiwanensis, is new to science.",taxonomy,scleractinian,community,NA,NA,NA,fungia_taiwanensis; fungia_sinensis; fungia_cyclolites; fungia_fragilis; fungia_costulata; fungia_tenuis; fungia_vaughani; fungia_concinna; fungia_horrida; fungia_repanda; fungia_fungites; fungia_scruposa; fungia_moluccensis; fungia_gravis; fungia_paumotensis; fungia_scutaria,NA,NA,NA,NA,multiple,NA,northeast_coast; xiaoliuqiu; nanwan_bay,N,adult,long,field,NA,SCLERACTINIA; FUNGIIDAE; TAIWAN; NEW SPECIES,NA
Reef environment and coral fauna of southern Taiwan,1991,Atoll Research Bulletin,NA,348,"Dai, Chang-Feng",https://www.scopus.com/inward/record.uri?eid=2-s2.0-0026391608&partnerID=40&md5=72febcc3fb1efd0917ab38ded69a5fa0,english,"Some 230 single representing 58 genera of scleractinian corals, 9 single of non-scleractinian reef-building corals, and 40 single of alcyonacean corals were recorded. -from Author",taxonomy,mix,community,NA,NA,NA,NA,NA,NA,NA,NA,south,NA,NA,N,adult,long,field,NA,NA,NA
Feasibility of using ATP as an index for environmental stress on hermatypic coral,1991,Marine Ecology Progress Series,10.3354/meps070257,70,"Fang, Lee-Shing and Chen, Yan-Wan and Chen, Chji-Shiarng",https://www.scopus.com/inward/record.uri?eid=2-s2.0-0025948709&doi=10.3354%2fmeps070257&partnerID=40&md5=34a554c22dffca5bec66aa10dd7269a7,english,"ATP concentration was studied in several species of coral in coastal waters of S Taiwan. Interspecific variation in ATP concentration in six coral species ranged from 8.2±1.3 to 52.6±14.8 μg g-1. In an experiment of short-term desiccation stress, ATP content in Acropora hyacinthus dropped drastically from 67.0±13.7 to 7.9±6.1 μg g-1. During a bleaching event, ATP concentration in A. hyacinthus dropped significantly but recovered gradually to normal values several months later. An annual survey of ATP variation in A. formosa showed a high peak between December-April with lower values in other months, perhaps in response to fluctuating temperature. In view of the significant rapid response of coral ATP content to stress and the rise in concentration during a recovery phase of months, the amount of ATP in living coral could be a feasible parameter for monitoring environmental stress in living coral. -from Authors",other_stressor,scleractinian,multiple,NA,NA,NA,acropora_hyacinthus; acropora_tenuis; acropora_aspera; acropora_formosa; montipora_aequituberculata; porites_nigrescens,NA,NA,NA,NA,south,nanwan_bay,NA,N,adult,long,mixed,NA,NA,NA
"Distribution and adaptive strategies of alcyonacean corals in Nanwan Bay, Taiwan",1991,Hydrobiologia,10.1007/BF00026469,216,"Dai, Chang-Feng",https://www.scopus.com/inward/record.uri?eid=2-s2.0-0026340413&doi=10.1007%2fBF00026469&partnerID=40&md5=635523e1426096899765df5f73d7e998,english,"The factors responsible for the abundance and distribution patterns of alcyonacean corals on the fringing reefs in southern Taiwan have been investigated. Transplantation studies have shown that the lack of alcyonacean corals in current- and storm-protected areas is possibly due to smothering by heavy sedimentation and with interactions with the alga Codium sp. Studies on the changes of alcyonacean-dominated communities revealed that alcyonacean corals are susceptible to storms but colonies often suffer only partial damage, even in severe storms. The remnants of these colonies can undergo rapid regeneration after storms which enables them to occupy space effectively, and may account for their dominance in storm-swept reefs. © 1991 Kluwer Academic Publishers.",dynamics,octocoral,multiple,NA,NA,NA,sarcophyton_trocheliophorum; sarcophyton_crassocaule; lobophytum_sarcophytoides; lobophytum_solidum; sinularia_grandilobata; sinularia_polydactyla; sinularia_numerosa,NA,NA,NA,NA,south,nanwan_bay,NA,N,adult,long,field,NA,NA,further_research
STUDIES ON THE FORMOSAN SOFT CORALS I-CYTOTOXIC CEMBRANE DITERPENES FROM SARCOPHYTON-TROCHELIOPHORUM,1992,JOURNAL OF THE CHINESE CHEMICAL SOCIETY,10.1002/jccs.199200062,39,"WU, YC and HSIEH, PW and DUH, CY and WANG, SK and SOONG, K and FANG, LS",NA,english,"Two cytotoxic cembranoid diterpenes, (+)-isosarcophytoxide (1) and (+)-isosarcophine (2), were isolated from the soft coral Sarcophyton trocheliophorum by cytotoxicity-guided fractionation. These two compounds demonstrated potent cytotoxicity against P-388 and HL-60 cells.",natural_products,octocoral,single,sarcophyton_trocheliophorum,NA,NA,NA,NA,NA,NA,NA,south,kenting_national_park,NA,N,adult,undefined,laboratory,cancer,SARCOPHYTON-TROCHELIOPHORUM; CEMBRANE DITERPENES; SOFT CORAL; CYTOTOXICITY,NA
STUDIES ON FORMOSAN SOFT CORALS .2. CYTOTOXIC CEMBRANOLIDES FROM THE SOFT CORAL LOBOPHYTUM-MICHAELAE,1992,JOURNAL OF NATURAL PRODUCTS,10.1021/np50088a007,55,"WANG, SK and DUH, CY and WU, YC and WANG, Y and CHENG, MC and SOONG, K and FANG, LS",NA,english,"Bioactivity-guided fractionation of a CHCl3 extract of the soft coral Lobophytum michaelae afforded a new cytotoxic cembranolide, lobomichaolide {[}1], and a known cytotoxic cembranolide, crassolide {[}2]. The structure of 1 was determined by spectral and X-ray crystallographic analysis.",natural_products,octocoral,single,lobophytum_michaelae,NA,NA,NA,NA,NA,NA,NA,south,kenting_national_park,NA,N,adult,undefined,laboratory,cancer,NA,NA
