Original_names,Freq,Updated_names,Genus_level,Genus,Coral_type
pocillopora_damicornis,49,pocillopora_damicornis,y,pocillopora,hard_coral
sinularia_flexibilis,47,sclerophytum_flexibile,y,sclerophytum,soft_coral
junceella_fragilis,43,junceella_fragilis,y,junceella,soft_coral
stylophora_pistillata,36,stylophora_pistillata,y,stylophora,hard_coral
porites_sp,35,porites_sp,y,porites,hard_coral
briareum_excavatum,28,briareum_stechei,y,briareum,soft_coral
lobophytum_crassum,26,lobophytum_crassum,y,lobophytum,soft_coral
acropora_muricata,25,acropora_muricata,y,acropora,hard_coral
euphyllia_glabrescens,25,euphyllia_glabrescens,y,euphyllia,hard_coral
porites_lutea,25,porites_lutea,y,porites,hard_coral
seriatopora_caliendrum,25,seriatopora_caliendrum,y,seriatopora,hard_coral
euphyllia_ancora,22,fimbriaphyllia_ancora,y,fimbriaphyllia,hard_coral
isopora_palifera,21,isopora_palifera,y,isopora,hard_coral
junceella_juncea,21,junceella_juncea,y,junceella,soft_coral
rumphella_antipathies,21,rumphella_antipathies,y,rumphella,soft_coral
acropora_sp,20,acropora_sp,y,acropora,hard_coral
seriatopora_hystrix,20,seriatopora_hystrix,y,seriatopora,hard_coral
goniopora_columna,18,goniopora_columna,y,goniopora,hard_coral
sinularia_sp,18,sinularia_sp,y,sinularia,soft_coral
acropora_hyacinthus,16,acropora_hyacinthus,y,acropora,hard_coral
galaxea_fascicularis,15,galaxea_fascicularis,y,galaxea,hard_coral
montipora_aequituberculata,15,montipora_aequituberculata,y,montipora,hard_coral
paralemnalia_thyrsoides,15,paralemnalia_thyrsoides,y,paralemnalia,soft_coral
acropora_spp,14,acropora_spp,y,acropora,hard_coral
porites_lobata,14,porites_lobata,y,porites,hard_coral
pocillopora_acuta,13,pocillopora_acuta,y,pocillopora,hard_coral
pocillopora_verrucosa,13,pocillopora_verrucosa,y,pocillopora,hard_coral
sarcophyton_crassocaule,13,sarcophyton_crassocaule,y,sarcophyton,soft_coral
cladiella_australis,12,cladiella_australis,y,cladiella,soft_coral
pinnigorgia_sp,12,pinnigorgia_sp,y,pinnigorgia,soft_coral
sinularia_leptoclados,12,sclerophytum_leptoclados,y,sclerophytum,soft_coral
oulastrea_crispata,11,oulastrea_crispata,y,oulastrea,hard_coral
sinularia_gibberosa,11,sclerophytum_gibberosum,y,sclerophytum,soft_coral
acropora_humilis,10,acropora_humilis,y,acropora,hard_coral
acropora_valida,10,acropora_valida,y,acropora,hard_coral
briareum_sp,10,briareum_sp,y,briareum,soft_coral
favites_abdita,10,favites_abdita,y,favites,hard_coral
isis_hippuris,10,isis_hippuris,y,isis,soft_coral
klyxum_simplex,10,klyxum_simplex,y,klyxum,soft_coral
nephthea_erecta,10,litophyton_erectum,y,litophyton,soft_coral
platygyra_sinensis,10,platygyra_sinensis,y,platygyra,hard_coral
acropora_digitifera,9,acropora_digitifera,y,acropora,hard_coral
cespitularia_hypotentaculata,9,cespitularia_hypotentaculata,y,cespitularia,soft_coral
clavularia_viridis,9,clavularia_viridis,y,clavularia,soft_coral
favites_pentagona,9,favites_pentagona,y,favites,hard_coral
heliopora_coerulea,9,heliopora_coerulea,y,heliopora,soft_coral
hydnophora_exesa,9,hydnophora_exesa,y,hydnophora,hard_coral
montipora_sp,9,montipora_sp,y,montipora,hard_coral
nephthea_chabrolii,9,litophyton_chabrolii,y,litophyton,soft_coral
porites_spp,9,porites_spp,y,porites,hard_coral
sarcophyton_trocheliophorum,9,sarcophyton_trocheliophorum,y,sarcophyton,soft_coral
sinularia_lochmodes,9,sclerophytum_leptoclados,y,sclerophytum,soft_coral
acropora_gemmifera,8,acropora_gemmifera,y,acropora,hard_coral
astreopora_myriophthalma,8,astreopora_myriophthalma,y,astreopora,hard_coral
capnella_imbricata,8,capnella_imbricata,y,capnella,soft_coral
dipsastraea_speciosa,8,dipsastraea_speciosa,y,dipsastraea,hard_coral
ellisella_robusta,8,ellisella_robusta,y,ellisella,soft_coral
favia_favus,8,dipsastraea_favus,y,dipsastraea,hard_coral
montipora_cactus,8,montipora_cactus,y,montipora,hard_coral
pocillopora_spp,8,pocillopora_spp,y,pocillopora,hard_coral
subergorgia_suberosa,8,subergorgia_suberosa,y,subergorgia,soft_coral
acropora_tenuis,7,acropora_tenuis,y,acropora,hard_coral
briareum_violacea,7,briareum_violaceum,y,briareum,soft_coral
briareum_violaceum,7,briareum_violaceum,y,briareum,soft_coral
cyphastrea_chalcidicum,7,cyphastrea_chalcidicum,y,cyphastrea,hard_coral
mycedium_elephantotus,7,mycedium_elephantotus,y,mycedium,hard_coral
pocillopora_sp,7,pocillopora_sp,y,pocillopora,hard_coral
sinularia_nanolobata,7,sclerophytum_nanolobatum,y,sclerophytum,soft_coral
sinularia_querciformis,7,sclerophytum_querciforme,y,sclerophytum,soft_coral
acropora_intermedia,6,acropora_intermedia,y,acropora,hard_coral
briareum_stechei,6,briareum_stechei,y,briareum,soft_coral
cespitularia_taeniata,6,conglomeratusclera_coerulea,y,conglomeratusclera,soft_coral
echinopora_lamellosa,6,echinopora_lamellosa,y,echinopora,hard_coral
fimbriaphyllia_ancora,6,fimbriaphyllia_ancora,y,fimbriaphyllia,hard_coral
klyxum_flaccidum,6,klyxum_flaccidum,y,klyxum,soft_coral
lemnalia_cervicorni,6,lemnalia_cervicorni,y,lemnalia,soft_coral
leptoria_phrygia,6,leptoria_phrygia,y,leptoria,hard_coral
pavona_decussata,6,pavona_decussata,y,pavona,hard_coral
pavona_sp,6,pavona_sp,y,pavona,hard_coral
platygyra_verweyi,6,platygyra_verweyi,y,platygyra,hard_coral
sarcophyton_ehrenbergi,6,sarcophyton_ehrenbergi,y,sarcophyton,soft_coral
tubastraea_coccinea,6,tubastraea_coccinea,y,tubastraea,hard_coral
acanthastrea_echinata,5,acanthastrea_echinata,y,acanthastrea,hard_coral
acropora_formosa,5,acropora_muricata,y,acropora,hard_coral
acropora_nana,5,acropora_nana,y,acropora,hard_coral
acropora_solitaryensis,5,acropora_solitaryensis,y,acropora,hard_coral
cladiella_hirsuta,5,cladiella_hirsuta,y,cladiella,soft_coral
clavularia_inflata,5,clavularia_inflata,y,clavularia,soft_coral
echinophyllia_aspera,5,echinophyllia_aspera,y,echinophyllia,hard_coral
echinopora_gemmacea,5,echinopora_gemmacea,y,echinopora,hard_coral
echinopora_sp,5,echinopora_sp,y,echinopora,hard_coral
euphyllia_paraancora,5,fimbriaphyllia_paraancora,y,fimbriaphyllia,hard_coral
lithophyllon_undulatum,5,lithophyllon_undulatum,y,lithophyllon,hard_coral
lobophytum_durum,5,lobophytum_durum,y,lobophytum,soft_coral
menella_sp,5,menella_sp,y,menella,soft_coral
pavona_cactus,5,pavona_cactus,y,pavona,hard_coral
platygyra_ryukyuensis,5,platygyra_ryukyuensis,y,platygyra,hard_coral
sarcophyton_glaucum,5,sarcophyton_glaucum,y,sarcophyton,soft_coral
sinularia_numerosa,5,sclerophytum_numerosum,y,sclerophytum,soft_coral
sinularia_sandensis,5,sclerophytum_sandense,y,sclerophytum,soft_coral
xenia_umbellata,5,xenia_umbellata,y,xenia,soft_coral
acropora_palifera,4,acropora_palifera,y,acropora,hard_coral
asterospricularia_laurae,4,asterospricularia_laurae,y,asterospricularia,soft_coral
cladiella_krempfi,4,cladiella_krempfi,y,cladiella,soft_coral
cladiella_sp,4,cladiella_sp,y,cladiella,soft_coral
cyphastrea_microphthalma,4,cyphastrea_microphthalma,y,cyphastrea,hard_coral
cyphastrea_sp,4,cyphastrea_sp,y,cyphastrea,hard_coral
echinomuricea_sp,4,echinomuricea_sp,y,echinomuricea,hard_coral
echinophyllia_orpheensis,4,echinophyllia_orpheensis,y,echinophyllia,hard_coral
favites_sp,4,favites_sp,y,favites,hard_coral
galaxea_sp,4,galaxea_sp,y,galaxea,hard_coral
goniastrea_aspera,4,goniastrea_aspera,y,goniastrea,hard_coral
goniastrea_retiformis,4,goniastrea_retiformis,y,goniastrea,hard_coral
goniopora_sp,4,goniopora_sp,y,goniopora,hard_coral
hydnophora_rigida,4,hydnophora_rigida,y,hydnophora,hard_coral
isopora_sp,4,isopora_sp,y,isopora,hard_coral
klyxum_molle,4,klyxum_molle,y,klyxum,soft_coral
lobophyllia_hemprichii,4,lobophyllia_hemprichii,y,lobophyllia,hard_coral
lobophytum_sp,4,lobophytum_sp,y,lobophytum,soft_coral
merulina_ampliata,4,merulina_ampliata,y,merulina,hard_coral
montipora_efflorescens,4,montipora_efflorescens,y,montipora,hard_coral
montipora_undata,4,montipora_undata,y,montipora,hard_coral
pavona_venosa,4,pavona_venosa,y,pavona,hard_coral
pocillopora_eydouxi,4,pocillopora_grandis,y,pocillopora,hard_coral
porites_cylindrica,4,porites_cylindrica,y,porites,hard_coral
sarcophyton_sp,5,sarcophyton_sp,y,sarcophyton,soft_coral
sinularia_capillosa,4,sclerophytum_capillosum,y,sclerophytum,soft_coral
sinularia_crassa,4,sclerophytum_crassum,y,sclerophytum,soft_coral
sinularia_gaweli,4,sclerophytum_gaweli,y,sclerophytum,soft_coral
sinularia_gyrosa,4,sclerophytum_gyrosum,y,sclerophytum,soft_coral
sinularia_manaarensis,4,sclerophytum_manaarense,y,sclerophytum,soft_coral
sinularia_scabra,4,sclerophytum_scabrum,y,sclerophytum,soft_coral
stylophora_sp,4,stylophora_sp,y,stylophora,hard_coral
acropora_aspera,3,acropora_aspera,y,acropora,hard_coral
acropora_cytherea,3,acropora_cytherea,y,acropora,hard_coral
acropora_glauca,3,acropora_glauca,y,acropora,hard_coral
acropora_millepora,3,acropora_millepora,y,acropora,hard_coral
acropora_nasuta,3,acropora_nasuta,y,acropora,hard_coral
acropora_pulchra,3,acropora_pulchra,y,acropora,hard_coral
acropora_selago,3,acropora_selago,y,acropora,hard_coral
alcyonium_sp,3,alcyonium_sp,y,alcyonium,soft_coral
coralliidae_spp,3,coralliidae_spp,n,NA,soft_coral
dipsastraea_pallida,3,dipsastraea_pallida,y,dipsastraea,hard_coral
dipsastraea_sp,3,dipsastraea_sp,y,dipsastraea,hard_coral
euphyllia_divisa,3,fimbriaphyllia_divisa,y,fimbriaphyllia,hard_coral
favia_sp,3,dipsastraea_sp,y,dipsastraea,hard_coral
favia_speciosa,3,dipsastraea_speciosa,y,dipsastraea,hard_coral
favia_stelligera,3,goniastrea_stelligera,y,goniastrea,hard_coral
faviidae,3,faviidae,n,NA,hard_coral
favites_chinensis,3,favites_chinensis,y,favites,hard_coral
favites_halicora,3,favites_halicora,y,favites,hard_coral
fungia_fungites,3,fungia_fungites,y,fungia,hard_coral
fungia_scruposa,3,danafungia_scruposa,y,danafungia,hard_coral
goniastrea_edwardsi,3,goniastrea_edwardsi,y,goniastrea,hard_coral
goniastrea_sp,3,goniastrea_sp,y,goniastrea,hard_coral
lemnalia_flava,3,lemnalia_flava,y,lemnalia,soft_coral
lobophytum_michaelae,3,lobophytum_michaelae,y,lobophytum,soft_coral
melithaea_ochracea,3,melithaea_ochracea,y,melithaea,soft_coral
nephthea_columnaris,3,litophyton_columnaris,y,litophyton,soft_coral
oxypora_lacera,3,oxypora_lacera,y,oxypora,hard_coral
pachyclavularia_violacea,3,briareum_violaceum,y,briareum,soft_coral
pachyseris_sp,3,pachyseris_sp,y,pachyseris,hard_coral
paraminabea_acronocephala,3,paraminabea_acronocephala,y,paraminabea,soft_coral
pavona_spp,3,pavona_spp,y,pavona,hard_coral
pavona_frondifera,3,pavona_frondifera,y,pavona,hard_coral
